iter	Poisson
0	0.9870497956
1	0.9749195914
2	0.9651389615
3	0.955869531
4	0.947751746
5	0.9405026395
6	0.9348278705
7	0.9290161701
8	0.9236309068
9	0.9191398375
10	0.9152603178
11	0.9120273282
12	0.908456635
13	0.9052195057
14	0.9022446221
15	0.8996320896
16	0.8975531384
17	0.8953811912
18	0.8936665831
19	0.8918694968
20	0.8900828753
21	0.8885812286
22	0.8870035856
23	0.8859711682
24	0.884729391
25	0.8835911548
26	0.8822854554
27	0.8812699013
28	0.8803313318
29	0.8794892065
30	0.8787235177
31	0.8779116895
32	0.8770951449
33	0.8762701703
34	0.8755471984
35	0.8751906965
36	0.874713949
37	0.8742118543
38	0.8738114649
39	0.8733853858
40	0.8729121214
41	0.8725278553
42	0.8721589265
43	0.8717737392
44	0.8713562199
45	0.8709176612
46	0.8706085569
47	0.8701997807
48	0.8698993106
49	0.8695329146
50	0.8693469257
51	0.8690196819
52	0.8688577601
53	0.8686268256
54	0.8684164326
55	0.868140976
56	0.8678843607
57	0.8677481812
58	0.8675529588
59	0.8673735655
60	0.8672484436
61	0.8670531014
62	0.8668419051
63	0.8667086983
64	0.8665756856
65	0.8663803413
66	0.8661608111
67	0.8659875123
68	0.8658203133
69	0.8655881829
70	0.8654949093
71	0.8652662855
72	0.8651689553
73	0.8650772902
74	0.8649998682
75	0.8648190104
76	0.8646907863
77	0.8645698416
78	0.864523203
79	0.8644591952
80	0.8642879492
81	0.8642505341
82	0.8641197351
83	0.863987152
84	0.8639314138
85	0.8638750863
86	0.8638162696
87	0.8637088946
88	0.8636000605
89	0.8634272095
90	0.8633199817
91	0.8632349583
92	0.8631418146
93	0.8630667768
94	0.8629908392
95	0.862918166
96	0.862857261
97	0.8627528385
98	0.862630063
99	0.8624953251
