iter	Passed	Remaining
0	0	70
1	1	65
2	1	62
3	2	60
4	3	59
5	3	58
6	4	57
7	5	58
8	5	58
9	6	57
10	7	56
11	7	56
12	8	55
13	8	54
14	9	53
15	10	52
16	10	51
17	11	51
18	11	50
19	12	49
20	12	48
21	13	47
22	14	47
23	14	46
24	15	46
25	15	45
26	16	44
27	17	43
28	17	43
29	18	42
30	18	41
31	19	41
32	20	41
33	21	41
34	21	40
35	22	39
36	22	39
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	32
46	28	32
47	29	31
48	29	31
49	30	30
50	31	30
51	32	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	38	23
62	39	23
63	39	22
64	40	21
65	40	21
66	41	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	50	10
82	50	10
83	51	9
84	51	9
85	52	8
86	52	7
87	53	7
88	54	6
89	54	6
90	55	5
91	56	4
92	56	4
93	57	3
94	58	3
95	58	2
96	59	1
97	59	1
98	60	0
99	60	0
