team,snapshot_date,total_squad_value,top_xi_value,avg_caps,gk_strength,def_strength,mid_strength,att_strength
0,2018-06-01,156500000,119000000,0,10000000,6500000.0,16250000.0,6333333.333333333
Afghanistan,2018-06-01,400000,400000,0,0,150000.0,250000.0,0.0
Albania,2018-06-01,69450000,59300000,0,20000000,5850000.0,1500000.0,1633333.3333333333
Algeria,2018-06-01,244750000,198500000,0,0,11000000.0,14250000.0,31000000.0
Angola,2018-06-01,53650000,47000000,0,0,4375000.0,543750.0,7666666.666666667
Antigua and Barbuda,2018-06-01,1375000,1375000,0,0,250000.0,600000.0,150000.0
Argentina,2018-06-01,883000000,669000000,0,0,22666666.666666668,19000000.0,120000000.0
Armenia,2018-06-01,47900000,43800000,0,1500000,437500.0,9250000.0,1133333.3333333333
Aruba,2018-06-01,2050000,2050000,0,0,50000.0,400000.0,400000.0
Australia,2018-06-01,54100000,41750000,0,8000000,1525000.0,4875000.0,2666666.6666666665
Austria,2018-06-01,235000000,174000000,0,0,19750000.0,11750000.0,16000000.0
Azerbaijan,2018-06-01,6800000,4850000,0,300000,562500.0,237500.0,466666.6666666667
Bahrain,2018-06-01,25000,25000,0,0,0.0,25000.0,0.0
Bangladesh,2018-06-01,1000000,1000000,0,0,0.0,1000000.0,0.0
Barbados,2018-06-01,2325000,2325000,0,0,200000.0,0.0,708333.3333333334
Belarus,2018-06-01,21350000,13150000,0,800000,1512500.0,1075000.0,733333.3333333334
Belgium,2018-06-01,795500000,631000000,0,60000000,24250000.0,53250000.0,80000000.0
Benin,2018-06-01,26450000,23900000,0,600000,737500.0,675000.0,5666666.666666667
Bermuda,2018-06-01,4600000,4600000,0,0,0.0,0.0,2300000.0
Bolivia,2018-06-01,2300000,2300000,0,0,500000.0,375000.0,300000.0
Bonaire,2018-06-01,125000,125000,0,0,0.0,0.0,125000.0
Bosnia-Herzegovina,2018-06-01,169000000,147500000,0,8000000,6000000.0,20125000.0,12000000.0
Brazil,2018-06-01,1182000000,805000000,0,50000000,55000000.0,95000000.0,68333333.33333333
Bulgaria,2018-06-01,25150000,17900000,0,0,737500.0,2425000.0,1300000.0
Burkina Faso,2018-06-01,44400000,39800000,0,500000,1750000.0,3125000.0,7333333.333333333
Burundi,2018-06-01,10050000,10050000,0,0,400000.0,525000.0,2833333.3333333335
Cabo Verde,2018-06-01,48150000,37750000,0,4000000,1562500.0,875000.0,6166666.666666667
Cameroon,2018-06-01,156200000,124000000,0,12000000,10000000.0,5312500.0,14000000.0
Canada,2018-06-01,18325000,15850000,0,2000000,862500.0,1100000.0,2100000.0
Central African Republic,2018-06-01,36250000,35975000,0,300000,787500.0,7943750.0,133333.33333333334
Chad,2018-06-01,3450000,3450000,0,0,0.0,300000.0,1575000.0
Chile,2018-06-01,175000000,149500000,0,3500000,1933333.3333333333,13750000.0,26500000.0
China,2018-06-01,9475000,9200000,0,75000,433333.3333333333,981250.0,1200000.0
Chinese Taipei,2018-06-01,400000,400000,0,0,150000.0,250000.0,0.0
Colombia,2018-06-01,300500000,238000000,0,5000000,19750000.0,26625000.0,14666666.666666666
Comoros,2018-06-01,11725000,11000000,0,750000,431250.0,400000.0,2150000.0
Congo,2018-06-01,15900000,10850000,0,300000,775000.0,962500.0,1166666.6666666667
Congo DR,2018-06-01,135700000,102000000,0,0,6125000.0,4000000.0,16666666.666666666
Costa Rica,2018-06-01,42250000,36750000,0,18000000,1687500.0,1937500.0,1666666.6666666667
Cote d'Ivoire,2018-06-01,298500000,225000000,0,18000000,19250000.0,23333333.333333332,19000000.0
Croatia,2018-06-01,371000000,275000000,0,5000000,15750000.0,31000000.0,25333333.333333332
Cuba,2018-06-01,1550000,1550000,0,50000,0.0,0.0,1500000.0
Curacao,2018-06-01,35325000,29200000,0,3000000,3000000.0,1950000.0,2400000.0
Cyprus,2018-06-01,14000000,10650000,0,800000,1337500.0,575000.0,1075000.0
Czech Republic,2018-06-01,126500000,95700000,0,7000000,3187500.0,10875000.0,10500000.0
Denmark,2018-06-01,296000000,233000000,0,10000000,17625000.0,28125000.0,14666666.666666666
Dominican Republic,2018-06-01,29200000,29200000,0,200000,1525000.0,800000.0,22000000.0
Ecuador,2018-06-01,38950000,32500000,0,0,3300000.0,1350000.0,3833333.3333333335
Egypt,2018-06-01,196325000,188500000,0,0,2675000.0,2975000.0,53500000.0
El Salvador,2018-06-01,1550000,1550000,0,0,150000.0,200000.0,350000.0
England,2018-06-01,954000000,680000000,0,30000000,42500000.0,50000000.0,101666666.66666667
Equatorial Guinea,2018-06-01,21200000,21150000,0,0,625000.0,4225000.0,566666.6666666666
Eritrea,2018-06-01,1950000,1950000,0,0,0.0,725000.0,500000.0
Estonia,2018-06-01,7775000,6900000,0,200000,1125000.0,281250.0,383333.3333333333
Ethiopia,2018-06-01,700000,700000,0,0,300000.0,100000.0,300000.0
Faroe Islands,2018-06-01,2425000,2350000,0,200000,187500.0,187500.0,233333.33333333334
Finland,2018-06-01,46650000,40400000,0,8000000,1362500.0,5800000.0,1316666.6666666667
France,2018-06-01,1251000000,820000000,0,0,51250000.0,66250000.0,100000000.0
French Guiana,2018-06-01,3900000,3900000,0,250000,525000.0,0.0,516666.6666666667
Gabon,2018-06-01,115100000,110750000,0,400000,1275000.0,7000000.0,25816666.666666668
Georgia,2018-06-01,31900000,23200000,0,1000000,2775000.0,1800000.0,1600000.0
Germany,2018-06-01,1023000000,635000000,0,60000000,45000000.0,56250000.0,68333333.33333333
Ghana,2018-06-01,185000000,140000000,0,0,6437500.0,14125000.0,17666666.666666668
Greece,2018-06-01,153200000,122200000,0,3000000,20500000.0,5500000.0,6066666.666666667
Grenada,2018-06-01,575000,575000,0,100000,75000.0,0.0,200000.0
Guadeloupe,2018-06-01,32000000,26900000,0,700000,4500000.0,700000.0,1583333.3333333333
Guatemala,2018-06-01,1900000,1900000,0,0,0.0,0.0,633333.3333333334
Guinea,2018-06-01,143050000,130500000,0,0,5875000.0,22875000.0,4833333.333333333
Guinea-Bissau,2018-06-01,26850000,20600000,0,0,1475000.0,1400000.0,2500000.0
Guyana,2018-06-01,1250000,1250000,0,0,275000.0,0.0,700000.0
Haiti,2018-06-01,11150000,9850000,0,500000,1325000.0,700000.0,700000.0
Honduras,2018-06-01,14150000,12050000,0,0,1525000.0,687500.0,1033333.3333333334
Hungary,2018-06-01,50650000,40550000,0,8000000,5062500.0,2000000.0,1516666.6666666667
Iceland,2018-06-01,76900000,66750000,0,500000,2300000.0,9062500.0,7000000.0
India,2018-06-01,175000,175000,0,175000,0.0,0.0,0.0
Indonesia,2018-06-01,12100000,12000000,0,1300000,1925000.0,712500.0,62500.0
Iran,2018-06-01,45550000,35700000,0,1200000,1487500.0,1125000.0,7000000.0
Iraq,2018-06-01,4950000,4950000,0,0,687500.0,450000.0,412500.0
Ireland,2018-06-01,109000000,83500000,0,4500000,8250000.0,8750000.0,3833333.3333333335
Israel,2018-06-01,50700000,39450000,0,750000,1550000.0,2625000.0,7333333.333333333
Italy,2018-06-01,719000000,465000000,0,40000000,30000000.0,38750000.0,48333333.333333336
Jamaica,2018-06-01,140550000,125000000,0,0,3750000.0,3750000.0,26666666.666666668
Japan,2018-06-01,89550000,62000000,0,0,4000000.0,6875000.0,5166666.666666667
Jordan,2018-06-01,400000,400000,0,0,0.0,400000.0,0.0
Kazakhstan,2018-06-01,13450000,11825000,0,1000000,806250.0,1100000.0,1033333.3333333334
Kenya,2018-06-01,33650000,33650000,0,0,150000.0,10266666.666666666,766666.6666666666
"Korea, North",2018-06-01,5000000,5000000,0,0,0.0,0.0,5000000.0
"Korea, South",2018-06-01,93550000,83250000,0,0,1243750.0,3625000.0,20333333.333333332
Kosovo,2018-06-01,39000000,31900000,0,750000,862500.0,4062500.0,3833333.3333333335
Kyrgyzstan,2018-06-01,500000,500000,0,0,500000.0,0.0,0.0
Laos,2018-06-01,2000000,2000000,0,0,0.0,0.0,2000000.0
Latvia,2018-06-01,6300000,5450000,0,0,425000.0,300000.0,783333.3333333334
Lebanon,2018-06-01,1975000,1975000,0,150000,850000.0,700000.0,275000.0
Liberia,2018-06-01,2325000,2325000,0,0,100000.0,350000.0,325000.0
Libya,2018-06-01,3025000,3025000,0,0,0.0,891666.6666666666,350000.0
Liechtenstein,2018-06-01,1625000,1625000,0,25000,0.0,800000.0,0.0
Lithuania,2018-06-01,8625000,6850000,0,1300000,350000.0,168750.0,866666.6666666666
Luxembourg,2018-06-01,10075000,9325000,0,600000,818750.0,481250.0,1216666.6666666667
Macao,2018-06-01,25000,25000,0,0,0.0,25000.0,0.0
Madagascar,2018-06-01,14200000,13900000,0,50000,912500.0,2312500.0,100000.0
Malawi,2018-06-01,200000,200000,0,0,0.0,200000.0,0.0
Malaysia,2018-06-01,3975000,3975000,0,0,3000000.0,800000.0,87500.0
Mali,2018-06-01,97000000,76000000,0,2500000,2875000.0,10500000.0,6333333.333333333
Malta,2018-06-01,2750000,2750000,0,200000,150000.0,250000.0,1000000.0
Martinique,2018-06-01,25175000,20100000,0,500000,3375000.0,400000.0,1000000.0
Mauritania,2018-06-01,9950000,9550000,0,250000,466666.6666666667,575000.0,1833333.3333333333
Mauritius,2018-06-01,800000,800000,0,0,800000.0,0.0,0.0
Mexico,2018-06-01,161300000,113000000,0,3000000,5375000.0,8375000.0,16333333.333333334
Moldova,2018-06-01,12425000,10400000,0,400000,893750.0,1275000.0,516666.6666666667
Monaco,2018-06-01,50000,50000,0,0,0.0,50000.0,0.0
Montenegro,2018-06-01,91950000,82050000,0,1250000,12887500.0,1825000.0,7333333.333333333
Montserrat,2018-06-01,1450000,1450000,0,0,200000.0,375000.0,300000.0
Morocco,2018-06-01,188500000,142500000,0,3000000,14000000.0,9000000.0,16833333.333333332
Mozambique,2018-06-01,9725000,9525000,0,50000,1800000.0,237500.0,433333.3333333333
Netherlands,2018-06-01,421500000,287000000,0,9500000,33250000.0,21250000.0,23000000.0
Neukaledonien,2018-06-01,2300000,2300000,0,0,2000000.0,300000.0,0.0
New Caledonia,2018-06-01,3500000,3500000,0,0,0.0,3500000.0,0.0
New Zealand,2018-06-01,33325000,32150000,0,300000,2150000.0,931250.0,6550000.0
Nicaragua,2018-06-01,250000,250000,0,0,0.0,0.0,250000.0
Niger,2018-06-01,1850000,1850000,0,0,150000.0,0.0,566666.6666666666
Nigeria,2018-06-01,177000000,133500000,0,0,5166666.666666667,13250000.0,15000000.0
North Macedonia,2018-06-01,32400000,25350000,0,700000,2112500.0,2325000.0,2500000.0
Northern Ireland,2018-06-01,45450000,39000000,0,500000,5875000.0,2875000.0,1200000.0
Norway,2018-06-01,87550000,63500000,0,2500000,4125000.0,5250000.0,8500000.0
Oman,2018-06-01,750000,750000,0,750000,0.0,0.0,0.0
Pakistan,2018-06-01,350000,350000,0,0,100000.0,0.0,250000.0
Palestine,2018-06-01,525000,525000,0,0,116666.66666666667,0.0,87500.0
Panama,2018-06-01,3025000,3025000,0,0,458333.3333333333,200000.0,283333.3333333333
Papua New Guinea,2018-06-01,250000,250000,0,0,0.0,0.0,250000.0
Paraguay,2018-06-01,68150000,49750000,0,0,3250000.0,2112500.0,7833333.333333333
Peru,2018-06-01,40575000,33750000,0,0,1525000.0,4000000.0,3166666.6666666665
Philippines,2018-06-01,4175000,4175000,0,750000,206250.0,233333.33333333334,1500000.0
Poland,2018-06-01,274800000,234500000,0,20000000,9250000.0,15250000.0,38333333.333333336
Portugal,2018-06-01,598000000,394000000,0,18000000,24750000.0,30000000.0,56666666.666666664
Qatar,2018-06-01,12100000,12100000,0,0,1062500.0,1216666.6666666667,2100000.0
Romania,2018-06-01,61600000,42000000,0,4000000,2950000.0,4125000.0,3833333.3333333335
Russia,2018-06-01,183100000,117500000,0,10000000,8325000.0,10875000.0,11000000.0
Rwanda,2018-06-01,2550000,2550000,0,0,275000.0,0.0,2000000.0
Réunion,2018-06-01,150000,150000,0,0,150000.0,0.0,0.0
Saint-Martin,2018-06-01,350000,350000,0,0,150000.0,0.0,200000.0
San Marino,2018-06-01,75000,75000,0,0,0.0,0.0,75000.0
Sao Tome and Principe,2018-06-01,2100000,2100000,0,0,250000.0,0.0,616666.6666666666
Saudi Arabia,2018-06-01,5300000,5275000,0,0,475000.0,383333.3333333333,683333.3333333334
Scotland,2018-06-01,149000000,108000000,0,0,11333333.333333334,10000000.0,8666666.666666666
Senegal,2018-06-01,330000000,259000000,0,0,20750000.0,13000000.0,38000000.0
Serbia,2018-06-01,294000000,225000000,0,0,10250000.0,34750000.0,12333333.333333334
Seychelles,2018-06-01,1500000,1500000,0,0,1500000.0,0.0,0.0
Sierra Leone,2018-06-01,5800000,4600000,0,0,337500.0,308333.3333333333,566666.6666666666
Sint Maarten,2018-06-01,150000,150000,0,0,0.0,0.0,150000.0
Slovakia,2018-06-01,135800000,121000000,0,4000000,11462500.0,15437500.0,3083333.3333333335
Slovenia,2018-06-01,142350000,127250000,0,70000000,2687500.0,9625000.0,3166666.6666666665
Somalia,2018-06-01,100000,100000,0,0,0.0,100000.0,0.0
South Africa,2018-06-01,26950000,19250000,0,850000,812500.0,2250000.0,1833333.3333333333
Spain,2018-06-01,1250000000,745000000,0,70000000,55000000.0,75000000.0,55000000.0
St. Kitts & Nevis,2018-06-01,1075000,1075000,0,0,75000.0,1000000.0,0.0
St. Lucia,2018-06-01,275000,275000,0,0,250000.0,25000.0,0.0
Suriname,2018-06-01,46500000,34250000,0,1750000,3500000.0,3125000.0,2500000.0
Sweden,2018-06-01,136250000,102000000,0,2500000,10625000.0,5000000.0,12000000.0
Switzerland,2018-06-01,238500000,183000000,0,8000000,15250000.0,22000000.0,10000000.0
Syria,2018-06-01,20150000,20150000,0,0,200000.0,4875000.0,250000.0
Tahiti,2018-06-01,400000,400000,0,0,0.0,0.0,400000.0
Tajikistan,2018-06-01,1225000,1225000,0,125000,250000.0,300000.0,0.0
