,0
elo_diff,0.1913943
away_goals_conceded_avg_L5,0.08438328
rank_diff,0.08400587
away_goal_diff_avg_L10,0.07637056
h2h_avg_goals_home,0.033364076
home_goal_diff_avg_L10,0.03153102
away_weighted_goal_diff_last_10,0.02931726
neutral,0.028330058
h2h_avg_goals_away,0.023354787
away_avg_opponent_fifa_rank_last_10,0.02281437
home_goals_scored_avg_L5,0.021210853
away_avg_opponent_elo_last_10,0.019398088
away_avg_opponent_fifa_rank_last_5,0.018893506
home_weighted_goal_diff_last_10,0.018810276
away_avg_opponent_elo_last_5,0.01862914
away_fifa_rank,0.018559562
away_win_rate_L10,0.018317949
home_avg_opponent_elo_last_10,0.018098366
away_fifa_points,0.017659297
away_weighted_goal_diff_last_5,0.0173803
away_goals_scored_avg_L5,0.017158447
home_fifa_rank,0.016379915
tournament,0.015813421
home_weighted_goal_diff_last_5,0.01510739
home_avg_opponent_elo_last_5,0.015025987
away_team,0.014976621
home_win_rate_L10,0.014958901
home_avg_opponent_fifa_rank_last_5,0.014735282
home_elo_pre,0.014441782
home_team,0.014401303
home_avg_opponent_fifa_rank_last_10,0.014387589
home_goals_conceded_avg_L5,0.013991093
home_fifa_points,0.013583739
away_elo_pre,0.01321569
