iter	Poisson
0	0.9880615932
1	0.9774672218
2	0.9691227281
3	0.9605622516
4	0.953157356
5	0.9466822127
6	0.9413169568
7	0.9361715626
8	0.9314001237
9	0.9274424935
10	0.9236612241
11	0.9202037144
12	0.9169719401
13	0.9142799903
14	0.9116975059
15	0.9093487138
16	0.9072151943
17	0.9054900276
18	0.9038315496
19	0.9022309252
20	0.9006323117
21	0.8994088242
22	0.8981932323
23	0.8971654433
24	0.896258312
25	0.895350263
26	0.8944041414
27	0.8935086357
28	0.8928229771
29	0.8921360948
30	0.8913475558
31	0.89070384
32	0.8902631649
33	0.8896994011
34	0.8891914871
35	0.8887745389
36	0.8882899419
37	0.8878881227
38	0.8875464804
39	0.8872296749
40	0.8868481071
41	0.8865510715
42	0.8862258385
43	0.8858705695
44	0.8855092809
45	0.8851960703
46	0.8848725767
47	0.8846230884
48	0.8843575859
49	0.8840445445
50	0.8838552703
51	0.8836506017
52	0.8835411099
53	0.8834038101
54	0.8832089273
55	0.8829877843
56	0.8827966459
57	0.8826810547
58	0.8825463253
59	0.8823621766
60	0.8821829576
61	0.8820366169
62	0.8818675768
63	0.8817357288
64	0.8815907072
65	0.8814989349
66	0.8813379472
67	0.8812028373
68	0.8811014902
69	0.8809682575
70	0.8808603627
71	0.8807180048
72	0.8806506632
73	0.8805522386
74	0.8805113639
75	0.8804206211
76	0.8802937188
77	0.8801672559
78	0.8801258622
79	0.8800482728
80	0.8800043617
81	0.8799685481
82	0.8798512064
83	0.8797501804
84	0.8796772962
85	0.8796242134
86	0.879575225
87	0.8794939639
88	0.8794204884
89	0.8793777173
90	0.8793103919
91	0.8792587687
92	0.8792122956
93	0.8791135475
94	0.8790033593
95	0.8789673769
96	0.8789151224
97	0.8788445538
98	0.8787784429
99	0.8787116154
