iter	Passed	Remaining
0	1	111
1	2	112
2	3	111
3	4	107
4	5	104
5	6	99
6	7	96
7	8	94
8	9	91
9	10	90
10	11	89
11	12	88
12	13	87
13	13	85
14	14	84
15	15	82
16	16	80
17	17	78
18	18	78
19	19	76
20	20	75
21	21	74
22	21	73
23	22	71
24	23	70
25	24	69
26	25	67
27	25	66
28	26	66
29	27	64
30	28	63
31	29	62
32	30	61
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	53
41	37	52
42	38	51
43	39	49
44	40	48
45	40	47
46	41	47
47	43	47
48	44	46
49	44	44
50	45	43
51	46	42
52	47	41
53	48	40
54	48	39
55	49	38
56	50	38
57	51	37
58	52	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	29
67	59	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	6
93	80	5
94	81	4
95	82	3
96	83	2
97	83	1
98	84	0
99	85	0
