Feature,Mean_Abs_SHAP,Family,Relative_Importance
elo_diff,0.15604573,ELO,0.1719037
rank_diff,0.12044271,Other,0.13268256
home_goals_conceded_avg_L5,0.09060001,Form,0.09980713
neutral,0.07709568,Context/Identity,0.08493044
away_team,0.05010687,Context/Identity,0.055198923
away_goals_scored_avg_L5,0.048090227,Form,0.052977342
home_avg_opponent_elo_last_10,0.040404473,Opponent-Strength,0.044510532
away_avg_opponent_elo_last_5,0.03685283,Opponent-Strength,0.040597957
h2h_avg_goals_away,0.033956822,H2H,0.037407644
home_weighted_goal_diff_last_10,0.031493034,Opponent-Strength,0.03469348
away_goal_diff_avg_L10,0.030244062,Form,0.03331758
away_avg_opponent_elo_last_10,0.019489313,Opponent-Strength,0.021469891
h2h_avg_goals_home,0.019126575,H2H,0.021070292
tournament,0.017841402,Context/Identity,0.019654514
away_fifa_rank,0.017100308,FIFA,0.018838108
home_goals_scored_avg_L5,0.014269747,Form,0.015719894
home_team,0.0139028765,Context/Identity,0.01531574
home_goal_diff_avg_L10,0.013694997,Form,0.015086736
home_avg_opponent_elo_last_5,0.010449831,Opponent-Strength,0.011511784
home_elo_pre,0.009340154,ELO,0.010289337
home_fifa_points,0.009047882,FIFA,0.0099673625
away_weighted_goal_diff_last_10,0.008464946,Opponent-Strength,0.009325187
home_fifa_rank,0.007683388,FIFA,0.008464203
home_avg_opponent_fifa_rank_last_10,0.0052855616,Opponent-Strength,0.005822701
home_weighted_goal_diff_last_5,0.0040603685,Opponent-Strength,0.004472999
away_weighted_goal_diff_last_5,0.003842508,Opponent-Strength,0.0042329985
home_win_rate_L10,0.0037939488,Form,0.0041795047
away_avg_opponent_fifa_rank_last_10,0.0032909724,Opponent-Strength,0.0036254139
away_fifa_points,0.0031183406,FIFA,0.0034352385
away_elo_pre,0.0029544462,ELO,0.0032546886
away_goals_conceded_avg_L5,0.002459046,Form,0.0027089438
away_win_rate_L10,0.0013924795,Form,0.0015339886
home_avg_opponent_fifa_rank_last_5,0.0011729109,Opponent-Strength,0.0012921067
away_avg_opponent_fifa_rank_last_5,0.00063639996,Opponent-Strength,0.0007010734
