team,squad_market_value,experience_index,avg_squad_age,star_power,squad_form_minutes
Afghanistan,625000.0,0.0,32.36869723933379,0,0.0
Albania,166055000.0,1282.0,28.935267782004242,0,157510.0
Algeria,338150000.0,1375.0,30.590485968514717,1,221228.0
Andorra,800000.0,1377.0,28.6984561563617,0,1678.0
Angola,77700000.0,625.0,29.91115022326521,0,120393.0
Antigua and Barbuda,1375000.0,10.0,30.458590006844627,0,281.0
Argentina,1819595000.0,3892.0,29.027383250107093,9,764790.0
Armenia,50800000.0,1025.0,30.433389334826703,0,57658.0
Aruba,1575000.0,0.0,34.83823864932695,0,0.0
Australia,89950000.0,2206.0,25.679717666357647,0,129152.0
Austria,427625000.0,2426.0,28.042404093738796,0,299916.0
Azerbaijan,11350000.0,889.0,29.144863217857853,0,17759.0
Bahrain,300000.0,87.0,30.810403832991103,0,0.0
Bangladesh,5000000.0,725.0,25.644007348967904,0,330.0
Barbados,625000.0,16.0,32.76167008898015,0,0.0
Belarus,21625000.0,806.0,31.57099799464438,0,43981.0
Belgium,1382020000.0,3089.0,29.55861901338772,3,1126169.0
Benin,16600000.0,317.0,31.860180792560598,0,12455.0
Bermuda,900000.0,0.0,32.83230663928816,0,0.0
Bolivia,5800000.0,801.0,26.48901547768872,0,8766.0
Bonaire,500000.0,19.0,25.683778234086244,0,1389.0
Bosnia-Herzegovina,172410000.0,1631.0,29.826898261913577,0,203447.0
Botswana,0.0,2.0,20.32854209445585,0,0.0
Brazil,3727965000.0,3443.0,29.800390171653703,15,1729818.0
Brunei Darussalam,175000.0,0.0,28.06297056810404,0,0.0
Bulgaria,50425000.0,588.0,32.38036960985626,0,52109.0
Burkina Faso,113650000.0,601.0,28.845722108145104,0,71633.0
Burundi,10700000.0,139.0,30.278756439353007,0,8371.0
Cabo Verde,80800000.0,554.0,31.700421484923808,0,100357.0
Cambodia,0.0,366.0,25.317590691307327,0,0.0
Cameroon,323160000.0,1130.0,31.048541204097873,2,221591.0
Canada,183000000.0,1514.0,27.26415628393365,1,88014.0
Central African Republic,13300000.0,102.0,31.720967373944788,0,10082.0
Chad,2450000.0,27.0,32.20041067761807,0,7738.0
Chile,82650000.0,1533.0,31.11460947600578,0,70966.0
China PR,6910000.0,569.0,28.91430054993037,0,101.0
Chinese Taipei,950000.0,495.0,27.19889044994416,0,0.0
Colombia,445375000.0,3266.0,27.136150799446703,1,240064.0
Comoros,20450000.0,835.0,27.670130462738268,0,29417.0
Congo,26500000.0,227.0,31.006632207510208,0,40059.0
Congo DR,201235000.0,966.0,31.666918837133903,0,165645.0
Costa Rica,41200000.0,1474.0,29.236815846548414,0,47288.0
Cote d'Ivoire,670700000.0,1253.0,29.154393434181692,3,331935.0
Croatia,592970000.0,3401.0,28.521105829184364,2,426980.0
Cuba,2100000.0,46.0,27.142505133470223,0,2379.0
Curaçao,39700000.0,428.0,29.63424802439176,0,76811.0
Cyprus,21075000.0,1016.0,29.426106080497302,0,43745.0
Czechia,217525000.0,3039.0,28.383423124345647,0,207157.0
Denmark,1123225000.0,3143.0,29.73353270032018,3,1040165.0
Dominican Republic,21000000.0,531.0,26.12519963495323,0,18240.0
Ecuador,356225000.0,1193.0,27.681324499890227,3,109603.0
Egypt,137850000.0,1305.0,31.17207392197125,1,46328.0
El Salvador,1300000.0,1063.0,28.09313858432451,0,1815.0
England,4755955000.0,3516.0,29.999651664644208,31,1501108.0
Equatorial Guinea,16525000.0,386.0,31.41552837544267,0,25360.0
Eritrea,1450000.0,2.0,34.46885694729637,0,519.0
Estonia,8525000.0,1228.0,29.44042541989154,0,14745.0
Ethiopia,775000.0,584.0,27.934418923005904,0,0.0
Faroe Islands,2200000.0,955.0,28.767389155068823,0,10746.0
Fiji,0.0,13.0,31.263518138261464,0,0.0
Finland,52200000.0,1242.0,29.857115606871556,0,67709.0
France,4503180000.0,4161.0,30.625347898931665,26,1888013.0
French Guiana,3850000.0,39.0,37.47741273100616,0,9378.0
Gabon,42150000.0,481.0,31.507947372423757,0,36479.0
Georgia,198510000.0,1342.0,30.389704082295395,1,100116.0
Germany,2773965000.0,3554.0,30.439277318671344,12,1464761.0
Ghana,437095000.0,1198.0,28.390732483443767,2,305187.0
